	, 1	, 2	, 3	, 4	, 5
10^2, 3.280000, 2.960000, 3.040000, 3.120000, 3.280000
10^3, 3.144000, 3.144000, 3.216000, 3.240000, 3.048000
10^4, 3.136000, 3.176000, 3.114400, 3.160800, 3.100000
10^5, 3.148960, 3.128160, 3.129040, 3.137920, 3.144240
10^6, 3.144544, 3.140584, 3.144288, 3.143832, 3.146248
10^7, 3.142114, 3.140789, 3.140964, 3.141358, 3.141208
10^8, 3.141468, 3.141638, 3.141131, 3.141347, 3.141540
10^9, 3.141610, 3.141593, 3.141596, 3.141576, 3.141581
10^10, 3.141592, 3.141596, 3.141589, 3.141591, 3.141595
10^11, TIMED OUT
10^12, TIMED OUT
